start time,request type (ie POST),latency,response code
1606517528239,GET,26135,200
1606517554374,GET,26286,200
1606517580660,GET,25233,200
1606517605893,GET,15442,200
1606517423084,GET,24611,200
1606517447695,GET,24707,200
1606517472402,GET,26908,200
1606517499310,GET,26620,200
1606517525930,GET,23138,200
1606517549068,GET,25296,200
1606517574364,GET,27190,200
1606517601554,GET,17123,200
1606517618677,GET,8677,200
1606517627354,GET,5680,200
1606517381867,GET,27085,200
1606517408953,GET,23459,200
1606517432412,GET,27292,200
1606517459704,GET,24039,200
1606517483743,GET,22742,200
1606517506485,GET,26371,200
1606517532856,GET,25370,200
1606517558226,GET,24576,200
1606517582802,GET,25549,200
1606517608351,GET,14017,200
1606517617308,GET,9252,200
1606517626560,GET,5848,200
1606517632408,GET,4920,200
1606517637328,GET,4353,200
1606517641681,GET,4149,200
1606517645830,GET,3593,200
1606517649423,GET,3434,200
1606517652857,GET,2558,200
1606517655415,GET,2246,200
1606517657661,GET,2045,200
1606517378042,GET,23398,200
1606517401440,GET,24765,200
1606517426205,GET,24419,200
1606517450624,GET,23307,200
1606517473931,GET,27541,200
1606517501472,GET,24918,200
1606517526390,GET,22956,200
1606517549346,GET,25562,200
1606517574908,GET,26549,200
1606517601457,GET,17492,200
1606517375232,GET,22419,200
1606517397651,GET,24681,200
1606517422332,GET,22625,200
1606517444957,GET,26809,200
1606517471766,GET,25569,200
1606517497335,GET,26980,200
1606517524315,GET,23445,200
1606517547760,GET,25389,200
1606517573149,GET,25699,200
1606517598848,GET,18300,200
1606517338406,GET,23265,200
1606517361671,GET,24605,200
1606517386276,GET,23317,200
1606517409593,GET,26902,200
1606517436495,GET,25416,200
1606517461911,GET,23283,200
1606517485194,GET,25119,200
1606517510313,GET,25998,200
1606517536311,GET,24816,200
1606517561127,GET,27191,200
1606517395769,GET,22764,200
1606517418533,GET,24059,200
1606517442592,GET,22438,200
1606517465030,GET,27579,200
1606517492609,GET,25249,200
1606517517858,GET,27088,200
1606517544946,GET,24005,200
1606517568951,GET,24597,200
1606517593548,GET,20555,200
1606517614103,GET,10884,200
1606517606736,GET,14937,200
1606517621673,GET,7422,200
1606517629095,GET,5214,200
1606517634309,GET,4554,200
1606517638863,GET,4289,200
1606517643152,GET,4171,200
1606517647323,GET,3509,200
1606517650832,GET,3224,200
1606517654056,GET,2313,200
1606517656369,GET,2079,200
